Duty Period #,Flights
1,['NA1014']
2,['NA1035']
3,['NA1078']
4,['NA1100']
5,['NA1139']
6,['NA1150']
7,['NA1193']
8,['NA1227']
9,['NA1248']
10,['NA1285']
11,['NA1303']
12,['NA1344']
13,['NA1365']
14,['NA1398']
15,['NA1440']
16,['NA1452']
17,['NA1485']
18,['NA1516']
19,['NA1540']
20,['NA1572']
21,['NA1604']
22,['NA1638']
23,['NA1674']
24,['NA1705']
25,['NA1733']
26,['NA1754']
27,['NA1797']
28,['NA1825']
29,['NA1855']
30,['NA1877']
31,['NA1911']
32,['NA1940']
33,['NA1976']
34,['NA2004']
35,['NA2033']
36,['NA2061']
37,['NA2089']
38,['NA2128']
39,['NA2143']
40,['NA2176']
41,['NA2218']
42,['NA2239']
43,['NA2263']
44,['NA2302']
45,['NA2328']
46,['NA2361']
47,['NA2381']
48,['NA2423']
49,['NA2452']
50,['NA2489']
51,['NA2515']
52,['NA2532']
53,['NA2561']
54,['NA2595']
55,['NA2625']
56,['NA2659']
57,['NA2683']
58,['NA2730']
59,['NA2751']
60,['NA2771']
61,['NA2816']
62,['NA2836']
63,['NA2863']
64,['NA2906']
65,['NA2937']
66,['NA2967']
67,['NA2993']
68,['NA3021']
69,['NA3048']
70,['NA3081']
71,['NA3117']
72,['NA3137']
73,['NA3172']
74,['NA3197']
75,['NA3230']
76,['NA3256']
77,['NA3296']
78,['NA3316']
79,['NA3358']
80,['NA3376']
81,['NA3416']
82,['NA3434']
83,['NA3466']
84,['NA3493']
85,['NA3528']
86,['NA3566']
87,['NA3596']
88,['NA3611']
89,['NA3652']
90,['NA3671']
91,['NA3715']
92,['NA3734']
93,"['NA3596', 'NA2771', 'NA3611', 'NA2836']"
94,"['NA3528', 'NA1674', 'NA1398', 'NA2595']"
95,"['NA3671', 'NA1877', 'NA1014', 'NA2328', 'NA3048', 'NA2751']"
96,"['NA1976', 'NA1100', 'NA1911', 'NA1344', 'NA1940']"
97,"['NA3734', 'NA2089', 'NA1344', 'NA1940']"
98,"['NA1733', 'NA1440', 'NA1705', 'NA1365', 'NA2659']"
99,"['NA3528', 'NA2033', 'NA1440', 'NA1911', 'NA1193', 'NA2595']"
100,"['NA3021', 'NA2033', 'NA1440', 'NA2328', 'NA3048', 'NA1940']"
101,"['NA1139', 'NA1877', 'NA1150', 'NA2061']"
102,"['NA3021', 'NA2771', 'NA3566', 'NA1911', 'NA1365', 'NA2659']"
103,"['NA3021', 'NA2033', 'NA1227']"
104,"['NA2993', 'NA2033', 'NA1014', 'NA1797']"
105,"['NA3596', 'NA1674', 'NA1365', 'NA2595']"
106,"['NA1485', 'NA2423', 'NA2937', 'NA2239']"
107,"['NA2967', 'NA2816', 'NA3566', 'NA1754']"
108,"['NA2967', 'NA2033', 'NA1227', 'NA1911', 'NA1344', 'NA1940']"
109,"['NA3528', 'NA2033', 'NA1150', 'NA2089', 'NA1344', 'NA2659']"
110,"['NA1976', 'NA1248', 'NA2218']"
111,"['NA2967', 'NA2816', 'NA3566', 'NA1911', 'NA1193', 'NA2659']"
112,"['NA1139', 'NA2033', 'NA1398', 'NA1705', 'NA1365', 'NA2659']"
113,"['NA3021', 'NA1877', 'NA1227', 'NA2328', 'NA3048', 'NA1940']"
114,"['NA3671', 'NA1825', 'NA1014', 'NA1911', 'NA1344', 'NA1855']"
115,"['NA1976', 'NA1014', 'NA2361', 'NA3117']"
116,"['NA3528', 'NA2263', 'NA1604', 'NA2328', 'NA3048', 'NA1855']"
117,"['NA2993', 'NA1825']"
118,"['NA1139', 'NA1877', 'NA1227', 'NA1911', 'NA1344', 'NA2061']"
119,"['NA3528', 'NA1877', 'NA1035', 'NA1911', 'NA1344', 'NA1940']"
120,"['NA1248', 'NA2004', 'NA1398', 'NA1940']"
121,"['NA3596', 'NA1825', 'NA1014', 'NA2659']"
122,"['NA3230', 'NA1705', 'NA1365', 'NA2659']"
123,"['NA1733', 'NA1035', 'NA1911', 'NA1193', 'NA2061']"
124,"['NA1733', 'NA1100', 'NA2128', 'NA1572', 'NA2239', 'NA1516']"
125,"['NA3528', 'NA1825', 'NA1303', 'NA2659']"
126,"['NA2967', 'NA2561', 'NA3296', 'NA1855']"
127,"['NA3596', 'NA2033', 'NA1014', 'NA1911', 'NA1193']"
128,"['NA1139', 'NA1877', 'NA1150', 'NA1911', 'NA1344', 'NA2659']"
129,"['NA3596', 'NA2263', 'NA1604', 'NA1705']"
130,"['NA1139', 'NA1877', 'NA1227', 'NA2061']"
131,"['NA2993', 'NA2033', 'NA1035', 'NA2361']"
132,"['NA1485', 'NA2561', 'NA3358', 'NA3048', 'NA2751']"
133,"['NA1485', 'NA2033', 'NA1150', 'NA1911', 'NA1344']"
134,"['NA3734', 'NA2239']"
135,"['NA1285', 'NA2328', 'NA3172', 'NA3256']"
136,"['NA2033', 'NA1440', 'NA2863']"
137,"['NA3528', 'NA2033', 'NA1227', 'NA1911', 'NA1344', 'NA2061']"
138,"['NA2993', 'NA2033', 'NA1227', 'NA2328', 'NA3048', 'NA1940']"
139,"['NA2967', 'NA2033', 'NA1150', 'NA2089', 'NA1365', 'NA2659']"
140,"['NA1285', 'NA2423', 'NA2937', 'NA1911', 'NA1365', 'NA2595']"
141,"['NA1877', 'NA1440', 'NA2089', 'NA1344']"
142,"['NA3021', 'NA2033', 'NA1303', 'NA2239', 'NA1516']"
143,"['NA3021', 'NA1825', 'NA1014', 'NA1911', 'NA1365', 'NA2595']"
144,"['NA3021', 'NA1825', 'NA1014', 'NA2089', 'NA1344', 'NA2836']"
145,"['NA3528', 'NA1825', 'NA1150', 'NA2089', 'NA1344', 'NA2659']"
146,"['NA3596', 'NA2033', 'NA1014', 'NA1705', 'NA1365']"
147,"['NA1733', 'NA1248', 'NA2143', 'NA1572', 'NA2595']"
148,"['NA3230', 'NA2328', 'NA3172', 'NA3256']"
149,"['NA3596', 'NA2033', 'NA1150', 'NA2089', 'NA1344', 'NA1855']"
150,"['NA3671', 'NA2816', 'NA3611', 'NA2659']"
151,"['NA3528', 'NA1911', 'NA1344', 'NA2836']"
152,"['NA3021', 'NA2033', 'NA1440', 'NA2328', 'NA3048', 'NA2836']"
153,"['NA1733', 'NA1078', 'NA2143', 'NA1572', 'NA1797']"
154,"['NA3528', 'NA2218', 'NA1572', 'NA2730']"
155,"['NA1485', 'NA2328', 'NA3048', 'NA1855']"
156,"['NA1100', 'NA2263', 'NA1604', 'NA2089', 'NA1344', 'NA1855']"
157,"['NA3021', 'NA1877', 'NA1014', 'NA2328', 'NA3048', 'NA2659']"
158,"['NA2993', 'NA1797']"
159,"['NA3021', 'NA2143', 'NA1572']"
160,"['NA1139', 'NA2033', 'NA1227', 'NA2328', 'NA3048', 'NA1754']"
161,"['NA1139', 'NA1825', 'NA1227', 'NA2328', 'NA3048', 'NA2061']"
162,"['NA1976', 'NA1285', 'NA2423', 'NA3048', 'NA1855']"
163,"['NA3528', 'NA2089', 'NA1193']"
164,"['NA3596', 'NA2561', 'NA3358', 'NA3048', 'NA2751']"
165,"['NA1976', 'NA1100', 'NA2263', 'NA1540', 'NA2659']"
166,"['NA1485', 'NA2033', 'NA1227', 'NA1911', 'NA1344', 'NA2659']"
167,"['NA3671', 'NA1825', 'NA1150', 'NA2089', 'NA1365']"
168,"['NA2993', 'NA2263', 'NA1638', 'NA2836']"
169,"['NA1139', 'NA2033', 'NA1014', 'NA1911', 'NA1344', 'NA2532']"
170,"['NA3021', 'NA2816', 'NA3566', 'NA2239']"
171,"['NA3596', 'NA2771', 'NA3566', 'NA2239']"
172,"['NA3596', 'NA2033', 'NA1440', 'NA1754']"
173,"['NA3230', 'NA2595']"
174,"['NA3596', 'NA2033', 'NA1227', 'NA2328', 'NA3048', 'NA1855']"
175,"['NA3671', 'NA1825', 'NA1035', 'NA1911', 'NA1344', 'NA2061']"
176,"['NA1285', 'NA2143', 'NA1572', 'NA2532']"
177,"['NA2993', 'NA2033', 'NA1150', 'NA1911', 'NA1344', 'NA2061']"
178,"['NA1227', 'NA2751']"
179,"['NA3021', 'NA1674', 'NA1303', 'NA2532']"
180,"['NA3021', 'NA2771', 'NA3566', 'NA1940']"
181,"['NA1139', 'NA1825', 'NA1150', 'NA1911', 'NA1193']"
182,"['NA2033', 'NA1014', 'NA2239', 'NA1516']"
183,"['NA1877', 'NA1398', 'NA2532']"
184,"['NA2967', 'NA2452', 'NA3137', 'NA3296', 'NA2532']"
185,"['NA1139', 'NA1877', 'NA1035', 'NA1911', 'NA1365', 'NA2659']"
186,"['NA1825', 'NA1303', 'NA1797']"
187,"['NA2967', 'NA2033', 'NA1035', 'NA1911', 'NA1365', 'NA2595']"
188,"['NA1285', 'NA2423', 'NA2937', 'NA1754']"
189,"['NA2967', 'NA1825', 'NA1035', 'NA2239', 'NA1516']"
190,"['NA1139', 'NA1825', 'NA1150', 'NA1911', 'NA1193', 'NA2595']"
191,"['NA2967', 'NA1877', 'NA1227', 'NA1911', 'NA1193', 'NA2061']"
192,"['NA1139', 'NA1877', 'NA1440', 'NA2328', 'NA3048', 'NA2836']"
193,"['NA2993', 'NA2906', 'NA3734', 'NA1911', 'NA1193', 'NA2595']"
194,"['NA1440', 'NA1705', 'NA1365', 'NA2595']"
195,"['NA1485', 'NA2033', 'NA1014', 'NA2751']"
196,"['NA1733', 'NA1078', 'NA2328', 'NA3048', 'NA2595']"
197,"['NA1976', 'NA1100', 'NA2263', 'NA1638', 'NA2863']"
198,"['NA1139', 'NA1877', 'NA1398', 'NA2595']"
199,"['NA3528', 'NA2381', 'NA2937', 'NA1911', 'NA1365', 'NA2595']"
200,"['NA1976', 'NA1285', 'NA1674', 'NA1344', 'NA2532']"
201,"['NA3528', 'NA2033', 'NA1035', 'NA1911', 'NA1344', 'NA1940']"
202,"['NA2967', 'NA2683']"
203,"['NA1485', 'NA2033', 'NA1150', 'NA1940']"
204,"['NA1139', 'NA2218', 'NA1572', 'NA2659']"
205,"['NA1976', 'NA1150', 'NA1797']"
206,"['NA1139', 'NA2771', 'NA3652', 'NA1855']"
207,"['NA1485', 'NA2033', 'NA1035', 'NA2595']"
208,"['NA2967', 'NA2033', 'NA1440', 'NA2089', 'NA1344']"
209,"['NA1976', 'NA1285', 'NA2328', 'NA3048', 'NA2730']"
