Flight No,Type,Date,Origin,Departure Time,Arrival Time,Destination,IsDome,,,,,,,,,,,,,,,,,,,,,,,,,
3U8019,320,1234567,成都,1125,1320,长沙,国内,,,,,,,,,,,,,,,,,,,,,,,,,
3U8020,320,1.3.5.7,宁波,1620,1810,长沙,国内,,,,,,,,,,,,,,,,,,,,,,,,,
3U8020,320,.2.4.6.,宁波,1620,1810,长沙,国内,,,,,,,,,,,,,,,,,,,,,,,,,
3U8051,319,.23456.,成都,2100,2310,北海,国内,,,,,,,,,,,,,,,,,,,,,,,,,
3U8052,320,.23456.,北海,2355,0155,成都,国内,,,,,,,,,,,,,,,,,,,,,,,,,
3U8107,319,1234567,昆明,1500,1730,常州,国内,,,,,,,,,,,,,,,,,,,,,,,,,
3U8108,319,1234567,青岛,2020,2155,常州,国内,,,,,,,,,,,,,,,,,,,,,,,,,
3U8115,319,1.3.5..,成都,0810,0920,甘南,国内,,,,,,,,,,,,,,,,,,,,,,,,,
3U8116,319,..3....,银川,1150,1300,甘南,国内,,,,,,,,,,,,,,,,,,,,,,,,,
3U8116,319,1...5..,银川,1150,1300,甘南,国内,,,,,,,,,,,,,,,,,,,,,,,,,
3U8131,321,1.....7,成都,2020,2230,合肥,国内,,,,,,,,,,,,,,,,,,,,,,,,,
3U8131,321,.23456.,成都,1925,2135,合肥,国内,,,,,,,,,,,,,,,,,,,,,,,,,
3U8132,321,.23456.,合肥,2225,0055,成都,国内,,,,,,,,,,,,,,,,,,,,,,,,,
3U8132,321,1.....7,合肥,2315,0145,成都,国内,,,,,,,,,,,,,,,,,,,,,,,,,
3U8137,319,1234567,重庆,1530,1720,南宁,国内,,,,,,,,,,,,,,,,,,,,,,,,,
3U8138,319,1234567,南宁,1910,2055,重庆,国内,,,,,,,,,,,,,,,,,,,,,,,,,
3U8139,320,..3.5.7,成都,0650,0955,鞍山,国内,,,,,,,,,,,,,,,,,,,,,,,,,
3U8140,320,....5.7,鞍山,1055,1440,成都,国内,,,,,,,,,,,,,,,,,,,,,,,,,
3U8140,320,..3....,鞍山,1825,2215,成都,国内,,,,,,,,,,,,,,,,,,,,,,,,,
3U8147,319,1.3.5.7,西安,1925,2155,丽江,国内,,,,,,,,,,,,,,,,,,,,,,,,,
3U8148,319,1.3.5.7,丽江,2240,0045,西安,国内,,,,,,,,,,,,,,,,,,,,,,,,,
3U8161,320,.2.4.6.,哈尔滨,0710,1150,广州,国内,,,,,,,,,,,,,,,,,,,,,,,,,
3U8162,320,.2.4.6.,广州,1255,1710,哈尔滨,国内,,,,,,,,,,,,,,,,,,,,,,,,,
3U8181,321,1234567,海口,1200,1505,太原,国内,,,,,,,,,,,,,,,,,,,,,,,,,
3U8182,321,1234567,太原,1645,2005,海口,国内,,,,,,,,,,,,,,,,,,,,,,,,,
3U8197,321,1.3.5.7,重庆,0725,0925,合肥,国内,,,,,,,,,,,,,,,,,,,,,,,,,
3U8198,321,1.3.5.7,合肥,1010,1220,重庆,国内,,,,,,,,,,,,,,,,,,,,,,,,,
3U8201,319,1.3.5.7,昆明,1635,1940,浦东,国内,,,,,,,,,,,,,,,,,,,,,,,,,
3U8202,319,1.3.5.7,浦东,2045,0035,昆明,国内,,,,,,,,,,,,,,,,,,,,,,,,,
3U8205,320,1.3.5.7,昆明,1705,1910,广州,国内,,,,,,,,,,,,,,,,,,,,,,,,,
3U8206,320,12.4.6.,广州,0615,0905,昆明,国内,,,,,,,,,,,,,,,,,,,,,,,,,
3U8207,320,1.3.5.7,哈尔滨,0730,0955,济南,国内,,,,,,,,,,,,,,,,,,,,,,,,,
3U8207,321,.2.4.6.,哈尔滨,0730,0955,济南,国内,,,,,,,,,,,,,,,,,,,,,,,,,
3U8208,320,1.3.5.7,揭阳,1425,1655,济南,国内,,,,,,,,,,,,,,,,,,,,,,,,,
3U8208,321,.2.4.6.,揭阳,1425,1655,济南,国内,,,,,,,,,,,,,,,,,,,,,,,,,
3U8209,320,1.3.5.7,北京,0745,1000,中卫,国内,,,,,,,,,,,,,,,,,,,,,,,,,
3U8210,320,1.3.5.7,乌鲁木齐,1720,2010,中卫,国内,,,,,,,,,,,,,,,,,,,,,,,,,
3U8211,319,1.3.5.7,西安,1710,1930,浦东,国内,,,,,,,,,,,,,,,,,,,,,,,,,
3U8212,319,1.3.5.7,浦东,2035,2325,西安,国内,,,,,,,,,,,,,,,,,,,,,,,,,
3U8215,320,.2.4.67,昆明,1515,1745,郑州,国内,,,,,,,,,,,,,,,,,,,,,,,,,
3U8216,320,.2.4.67,郑州,1845,2135,昆明,国内,,,,,,,,,,,,,,,,,,,,,,,,,
3U8217,319,.2.4.6.,西安,1940,2125,天津,国内,,,,,,,,,,,,,,,,,,,,,,,,,
3U8218,319,.2.4.6.,天津,2220,0020,西安,国内,,,,,,,,,,,,,,,,,,,,,,,,,
3U8221,321,1234567,昆明,1130,1255,南宁,国内,,,,,,,,,,,,,,,,,,,,,,,,,
3U8222,321,1234567,福州,1620,1845,南宁,国内,,,,,,,,,,,,,,,,,,,,,,,,,
3U8227,320,1234567,绵阳,0840,1050,海口,国内,,,,,,,,,,,,,,,,,,,,,,,,,
3U8228,320,1234567,海口,1155,1420,绵阳,国内,,,,,,,,,,,,,,,,,,,,,,,,,
3U8231,320,.2...6.,重庆,1840,2125,青岛,国内,,,,,,,,,,,,,,,,,,,,,,,,,
3U8231,320,1.345.7,重庆,1920,2155,青岛,国内,,,,,,,,,,,,,,,,,,,,,,,,,
3U8232,320,.2...6.,青岛,2225,0125,重庆,国内,,,,,,,,,,,,,,,,,,,,,,,,,
3U8232,320,1.345.7,青岛,2255,0155,重庆,国内,,,,,,,,,,,,,,,,,,,,,,,,,
3U8233,319,.2.4.6.,成都,1610,1800,宜春,国内,,,,,,,,,,,,,,,,,,,,,,,,,
3U8234,319,.2.4.6.,厦门,2050,2200,宜春,国内,,,,,,,,,,,,,,,,,,,,,,,,,
3U8243,319,.2.4.6.,昆明,1710,1940,厦门,国内,,,,,,,,,,,,,,,,,,,,,,,,,
3U8244,319,.2.4.6.,厦门,2105,0020,昆明,国内,,,,,,,,,,,,,,,,,,,,,,,,,
3U8245,320,.2.4.6.,昆明,1430,1710,合肥,国内,,,,,,,,,,,,,,,,,,,,,,,,,
3U8246,320,.2.4.6.,合肥,2000,2305,昆明,国内,,,,,,,,,,,,,,,,,,,,,,,,,
3U8249,319,.2.4...,成都,1030,1310,拉萨,国内,,,,,,,,,,,,,,,,,,,,,,,,,
3U8250,319,.2.4...,拉萨,1350,1550,成都,国内,,,,,,,,,,,,,,,,,,,,,,,,,
3U8251,319,1234567,杭州,0640,0920,重庆,国内,,,,,,,,,,,,,,,,,,,,,,,,,
3U8252,319,1234567,九寨沟,1225,1340,重庆,国内,,,,,,,,,,,,,,,,,,,,,,,,,
3U8253,321,...4...,成都,1425,1645,石家庄,国内,,,,,,,,,,,,,,,,,,,,,,,,,
3U8253,321,123.567,成都,1425,1645,石家庄,国内,,,,,,,,,,,,,,,,,,,,,,,,,
3U8254,321,1234567,沈阳,2030,2220,石家庄,国内,,,,,,,,,,,,,,,,,,,,,,,,,
3U8255,319,1.3.5..,成都,0710,0810,达州,国内,,,,,,,,,,,,,,,,,,,,,,,,,
3U8256,319,1.3.5..,泉州,1155,1420,达州,国内,,,,,,,,,,,,,,,,,,,,,,,,,
3U8259,319,..34567,贵阳,0825,1005,绵阳,国内,,,,,,,,,,,,,,,,,,,,,,,,,
3U8260,319,..34567,绵阳,0815,0935,贵阳,国内,,,,,,,,,,,,,,,,,,,,,,,,,
3U8303,319,.2.4.6.,北京,0650,0855,哈尔滨,国内,,,,,,,,,,,,,,,,,,,,,,,,,
3U8304,319,.2.4.6.,哈尔滨,1915,2115,北京,国内,,,,,,,,,,,,,,,,,,,,,,,,,
3U8305,319,.2.4.6.,哈尔滨,1045,1345,浦东,国内,,,,,,,,,,,,,,,,,,,,,,,,,
3U8306,319,.2.4.6.,浦东,1445,1805,哈尔滨,国内,,,,,,,,,,,,,,,,,,,,,,,,,
3U8317,319,1.3.5.7,重庆,0635,0820,郑州,国内,,,,,,,,,,,,,,,,,,,,,,,,,
3U8318,319,..3...7,延吉,1210,1510,郑州,国内,,,,,,,,,,,,,,,,,,,,,,,,,
3U8318,319,1...5..,延吉,1215,1515,郑州,国内,,,,,,,,,,,,,,,,,,,,,,,,,
3U8319,319,1.3.5.7,成都,1405,1535,西安,国内,,,,,,,,,,,,,,,,,,,,,,,,,
3U8320,319,1.3.5.7,东营,1905,2030,西安,国内,,,,,,,,,,,,,,,,,,,,,,,,,
3U8321,321,1234567,成都,0650,0930,天津,国内,,,,,,,,,,,,,,,,,,,,,,,,,
3U8322,321,1234567,天津,1040,1335,成都,国内,,,,,,,,,,,,,,,,,,,,,,,,,
3U8333,319,.....6.,成都,0650,0905,徐州,国内,,,,,,,,,,,,,,,,,,,,,,,,,
3U8333,319,...4...,成都,0650,0920,徐州,国内,,,,,,,,,,,,,,,,,,,,,,,,,
3U8333,319,12.....,成都,0650,0920,徐州,国内,,,,,,,,,,,,,,,,,,,,,,,,,
3U8334,320,.....6.,大连,1155,1325,徐州,国内,,,,,,,,,,,,,,,,,,,,,,,,,
3U8334,320,12.4...,大连,1215,1335,徐州,国内,,,,,,,,,,,,,,,,,,,,,,,,,
3U8359,319,..3....,成都,0655,0800,康定,国内,,,,,,,,,,,,,,,,,,,,,,,,,
3U8359,319,......7,成都,0705,0800,康定,国内,,,,,,,,,,,,,,,,,,,,,,,,,
3U8360,319,1...5..,稻城,0830,0905,康定,国内,,,,,,,,,,,,,,,,,,,,,,,,,
3U8361,320,1.....7,成都,0620,0830,南昌,国内,,,,,,,,,,,,,,,,,,,,,,,,,
3U8361,319,.23456.,成都,0630,0835,南昌,国内,,,,,,,,,,,,,,,,,,,,,,,,,
3U8362,319,1234567,南昌,0855,1120,成都,国内,,,,,,,,,,,,,,,,,,,,,,,,,
3U8365,320,.2.4.6.,昆明,0810,1055,太原,国内,,,,,,,,,,,,,,,,,,,,,,,,,
3U8365,320,1.3.5.7,昆明,0810,1055,太原,国内,,,,,,,,,,,,,,,,,,,,,,,,,
3U8366,320,1234567,长春,1640,1915,太原,国内,,,,,,,,,,,,,,,,,,,,,,,,,
3U8367,320,12.....,南充,1730,1850,贵阳,国内,,,,,,,,,,,,,,,,,,,,,,,,,
3U8367,320,..34567,南充,1730,1850,贵阳,国内,,,,,,,,,,,,,,,,,,,,,,,,,
3U8368,320,12.....,贵阳,1940,2050,南充,国内,,,,,,,,,,,,,,,,,,,,,,,,,
3U8368,320,..34567,贵阳,1940,2050,南充,国内,,,,,,,,,,,,,,,,,,,,,,,,,
3U8385,320,.2.4.6.,杭州,0745,1135,丽江,国内,,,,,,,,,,,,,,,,,,,,,,,,,
3U8386,320,.2.4.6.,丽江,1850,2145,杭州,国内,,,,,,,,,,,,,,,,,,,,,,,,,
3U8401,320,.2.4.6.,三亚,1920,2305,北京,国内,,,,,,,,,,,,,,,,,,,,,,,,,
3U8402,320,.2.4.6.,北京,0750,1200,三亚,国内,,,,,,,,,,,,,,,,,,,,,,,,,
3U8411,320,.2.4.6.,三亚,1805,2110,浦东,国内,,,,,,,,,,,,,,,,,,,,,,,,,
3U8412,320,.2.4.6.,浦东,2215,0145,三亚,国内,,,,,,,,,,,,,,,,,,,,,,,,,
3U8421,320,1.3.5.7,杭州,0750,1010,广州,国内,,,,,,,,,,,,,,,,,,,,,,,,,
3U8422,320,1.3.5.7,广州,1140,1350,杭州,国内,,,,,,,,,,,,,,,,,,,,,,,,,
3U8427,319,......7,成都,0630,0815,桂林,国内,,,,,,,,,,,,,,,,,,,,,,,,,
3U8427,319,...4...,成都,0635,0815,桂林,国内,,,,,,,,,,,,,,,,,,,,,,,,,
3U8427,319,.2...6.,成都,0635,0815,桂林,国内,,,,,,,,,,,,,,,,,,,,,,,,,
3U8428,319,......7,龙岩,1135,1305,桂林,国内,,,,,,,,,,,,,,,,,,,,,,,,,
3U8428,319,.....6.,龙岩,1135,1305,桂林,国内,,,,,,,,,,,,,,,,,,,,,,,,,
3U8428,319,.2.....,龙岩,1135,1305,桂林,国内,,,,,,,,,,,,,,,,,,,,,,,,,
3U8428,319,...4...,龙岩,1135,1305,桂林,国内,,,,,,,,,,,,,,,,,,,,,,,,,
3U8437,319,1.3.5.7,西安,0925,1220,深圳,国内,,,,,,,,,,,,,,,,,,,,,,,,,
3U8437,319,...4...,西安,0850,1150,深圳,国内,,,,,,,,,,,,,,,,,,,,,,,,,
3U8438,320,1.3.5.7,深圳,1325,1615,西安,国内,,,,,,,,,,,,,,,,,,,,,,,,,
3U8438,320,...4...,深圳,1325,1615,西安,国内,,,,,,,,,,,,,,,,,,,,,,,,,
3U8455,319,12.4.6.,杭州,1800,2045,南宁,国内,,,,,,,,,,,,,,,,,,,,,,,,,
3U8456,319,12.4.6.,南宁,2130,2340,杭州,国内,,,,,,,,,,,,,,,,,,,,,,,,,
3U8477,319,.....6.,成都,0625,0850,深圳,国内,,,,,,,,,,,,,,,,,,,,,,,,,
3U8478,319,.....6.,深圳,0950,1230,成都,国内,,,,,,,,,,,,,,,,,,,,,,,,,
3U8503,320,.2.4.6.,哈尔滨,0910,1140,徐州,国内,,,,,,,,,,,,,,,,,,,,,,,,,
3U8504,320,.2.4.6.,贵阳,1600,1810,徐州,国内,,,,,,,,,,,,,,,,,,,,,,,,,
3U8505,320,1234567,昆明,1100,1345,南京,国内,,,,,,,,,,,,,,,,,,,,,,,,,
3U8506,320,.2.4.6.,长春,1805,2040,南京,国内,,,,,,,,,,,,,,,,,,,,,,,,,
3U8506,320,1.3.5.7,长春,1805,2040,南京,国内,,,,,,,,,,,,,,,,,,,,,,,,,
3U8507,321,1234567,重庆,0625,0845,济南,国内,,,,,,,,,,,,,,,,,,,,,,,,,
3U8508,321,1234567,济南,0935,1210,重庆,国内,,,,,,,,,,,,,,,,,,,,,,,,,
3U8509,321,.2.4.6.,重庆,0800,0945,郑州,国内,,,,,,,,,,,,,,,,,,,,,,,,,
3U8510,321,.2.4.6.,郑州,1040,1235,重庆,国内,,,,,,,,,,,,,,,,,,,,,,,,,
3U8511,319,1.3.5.7,西安,0710,0845,宜宾,国内,,,,,,,,,,,,,,,,,,,,,,,,,
3U8512,319,1.3.5.7,三亚,1225,1445,宜宾,国内,,,,,,,,,,,,,,,,,,,,,,,,,
3U8513,320,1234567,昆明,0700,0830,重庆,国内,,,,,,,,,,,,,,,,,,,,,,,,,
3U8514,319,.2.456.,兰州,1210,1355,重庆,国内,,,,,,,,,,,,,,,,,,,,,,,,,
3U8514,319,1......,兰州,1220,1410,重庆,国内,,,,,,,,,,,,,,,,,,,,,,,,,
3U8514,319,..3...7,兰州,1220,1410,重庆,国内,,,,,,,,,,,,,,,,,,,,,,,,,
3U8515,319,1.3.5.7,攀枝花,1615,1730,重庆,国内,,,,,,,,,,,,,,,,,,,,,,,,,
3U8516,319,1.3....,北京,0650,0950,重庆,国内,,,,,,,,,,,,,,,,,,,,,,,,,
3U8516,319,....5.7,北京,0650,0950,重庆,国内,,,,,,,,,,,,,,,,,,,,,,,,,
3U8517,320,1.3.5.7,哈尔滨,0855,1155,合肥,国内,,,,,,,,,,,,,,,,,,,,,,,,,
3U8518,320,1.3.5.7,贵阳,1600,1750,合肥,国内,,,,,,,,,,,,,,,,,,,,,,,,,
3U8525,320,..3..67,成都,0810,1155,乌鲁木齐,国内,,,,,,,,,,,,,,,,,,,,,,,,,
3U8525,320,12.45..,成都,0815,1155,乌鲁木齐,国内,,,,,,,,,,,,,,,,,,,,,,,,,
3U8526,320,1234567,喀什,1525,1710,乌鲁木齐,国内,,,,,,,,,,,,,,,,,,,,,,,,,
3U8527,320,1234567,昆明,2305,0115,西安,国内,,,,,,,,,,,,,,,,,,,,,,,,,
3U8528,320,.2.4.6.,西安,2135,2355,昆明,国内,,,,,,,,,,,,,,,,,,,,,,,,,
3U8528,320,1.3.5.7,西安,2135,0010,昆明,国内,,,,,,,,,,,,,,,,,,,,,,,,,
3U8529,320,1234567,杭州,0900,1220,昆明,国内,,,,,,,,,,,,,,,,,,,,,,,,,
3U8530,320,1234567,昆明,1325,1610,杭州,国内,,,,,,,,,,,,,,,,,,,,,,,,,
3U8531,320,1.3.5.7,成都,0800,1005,太原,国内,,,,,,,,,,,,,,,,,,,,,,,,,
