Flight No,Type,Date,Origin,Departure Time,Arrival Time,Destination,IsDome
CSC3001,320,12345.7,宜昌/三峡,0605,0755,济南/遥墙,国内
CSC3002,320,12345.7,济南/遥墙,0835,1035,宜昌/三峡,国内
CSC3003,319,.2.....,成都/双流,1530,1630,康定,国内
CSC3004,319,.2.....,康定,1300,1400,成都/双流,国内
CSC3009,320,.2.....,乌鲁木齐/地窝堡,1010,1450,临沂/沭埠岭,国内
CSC3009,320,..3....,乌鲁木齐/地窝堡,0955,1435,临沂/沭埠岭,国内
CSC3009,320,1.....7,乌鲁木齐/地窝堡,1155,1635,临沂/沭埠岭,国内
CSC3011,320,1.3.5..,哈尔滨/太平,1115,1550,丽江/三义,国内
CSC3012,320,1.3.5..,丽江/三义,1850,2330,哈尔滨/太平,国内
CSC3013,319,1.3.5.7,林芝/米林,1350,1710,石家庄/正定,国内
CSC3014,319,1.3.5.7,石家庄/正定,0905,1255,林芝/米林,国内
CSC3015,320,1.3.5.7,杭州/萧山,0610,0925,西昌/青山,国内
CSC3016,320,1.3.5.7,西昌/青山,2145,0050,杭州/萧山,国内
CSC3017,320,......7,临沂/沭埠岭,0920,1105,温州/龙湾,国内
CSC3018,320,......7,温州/龙湾,0905,1055,临沂/沭埠岭,国内
CSC3019,319,...4...,连城/冠豸山,0715,1100,林芝/米林,国内
CSC3020,319,...4...,林芝/米林,1150,1515,连城/冠豸山,国内
CSC3021,320,.2.....,连城/冠豸山,1000,1200,临沂/沭埠岭,国内
CSC3022,320,.2.....,临沂/沭埠岭,1245,1445,连城/冠豸山,国内
CSC3023,319,1.3.5.7,徐州/观音,0720,1100,林芝/米林,国内
CSC3024,319,1.3.5.7,林芝/米林,1150,1510,徐州/观音,国内
CSC3025,320,.....6.,连城/冠豸山,1000,1150,徐州/观音,国内
CSC3026,320,.....6.,徐州/观音,1235,1425,连城/冠豸山,国内
CSC3163,319,1.345.7,杭州/萧山,0705,0930,重庆/江北,国内
CSC3164,319,1.345.7,稻城/亚丁,1235,1405,重庆/江北,国内
CSC3165,319,.2...6.,杭州/萧山,0705,0930,重庆/江北,国内
CSC3166,319,.2.....,康定,1240,1400,重庆/江北,国内
CSC3166,319,.....6.,康定,1240,1350,重庆/江北,国内
CSC3167,319,.2.4.6.,杭州/萧山,1805,2035,昭通,国内
CSC3168,319,.2.4.6.,昭通,2120,2350,杭州/萧山,国内
CSC3169,320,1.3.5.7,杭州/萧山,1905,2130,贵阳/龙洞堡,国内
CSC3170,320,1.3.5.7,贵阳/龙洞堡,2230,0040,杭州/萧山,国内
CSC3171,320,1234567,杭州/萧山,0630,0940,绵阳/南郊,国内
CSC3172,320,1234567,乌鲁木齐/地窝堡,1535,1905,绵阳/南郊,国内
CSC3173,320,1234567,杭州/萧山,0720,1015,泸州/蓝田,国内
CSC3174,320,1234567,西宁/曹家堡,1345,1535,泸州/蓝田,国内
CSC3175,320,1.3.5.7,杭州/萧山,0630,0925,宜宾/菜坝,国内
CSC3175,320,.2.4.6.,杭州/萧山,1845,2130,宜宾/菜坝,国内
CSC3176,320,.2.4.6.,宜宾/菜坝,2215,0055,杭州/萧山,国内
CSC3176,320,1.3.5.7,宜宾/菜坝,2000,2250,杭州/萧山,国内
CSC3201,320,1.3.5.7,三亚/凤凰,1830,2140,宁波/栎社,国内
CSC3202,320,1.3.5.7,宁波/栎社,2230,0130,三亚/凤凰,国内
CSC3203,320,.2.4.6.,三亚/凤凰,1835,2130,郑州/新郑,国内
CSC3204,320,.2.4.6.,郑州/新郑,2230,0120,三亚/凤凰,国内
CSC3209,320,..3...7,三亚/凤凰,1435,1750,西宁/曹家堡,国内
CSC3210,320,..3...7,西宁/曹家堡,1835,2140,三亚/凤凰,国内
CSC3211,320,.2.4.6.,三亚/凤凰,1250,1510,长沙/黄花,国内
CSC3212,320,.2.4.6.,长沙/黄花,1610,1815,三亚/凤凰,国内
CSC3213,321,1234567,三亚/凤凰,1535,1910,常州/奔牛,国内
CSC3214,321,1234567,常州/奔牛,1130,1435,三亚/凤凰,国内
CSC3215,320,.2.4.6.,三亚/凤凰,0900,1120,泸州/蓝田,国内
CSC3216,320,.2.4.6.,银川/河东,1510,1710,泸州/蓝田,国内
CSC3219,320,1.3.5.7,三亚/凤凰,0830,1040,泸州/蓝田,国内
CSC3220,320,1.3.5..,宁波/栎社,1500,1750,泸州/蓝田,国内
CSC3220,320,......7,宁波/栎社,1500,1750,泸州/蓝田,国内
CSC3251,319,1234567,西安/咸阳,0645,0835,九寨/黄龙,国内
CSC3252,319,1234567,九寨/黄龙,1645,1815,西安/咸阳,国内
CSC3261,319,1234567,西安/咸阳,1340,1545,攀枝花/保安营,国内
CSC3262,319,1234567,攀枝花/保安营,1625,1840,西安/咸阳,国内
CSC3265,320,1234567,西安/咸阳,1810,2055,海口/美兰,国内
CSC3266,320,1234567,海口/美兰,2225,0125,西安/咸阳,国内
CSC3269,320,1.3.5.7,西安/咸阳,1910,2120,桂林/两江,国内
CSC3269,320,.2.4.6.,西安/咸阳,1545,1810,桂林/两江,国内
CSC3270,320,1.3.5.7,桂林/两江,2210,0005,西安/咸阳,国内
CSC3270,320,.2.4.6.,桂林/两江,2050,2255,西安/咸阳,国内
CSC3271,321,1.3.5.7,西安/咸阳,1435,1605,张家界/荷花,国内
CSC3271,321,.2.4.6.,西安/咸阳,1435,1605,张家界/荷花,国内
CSC3272,321,1.3.5.7,张家界/荷花,2300,0040,西安/咸阳,国内
CSC3272,321,.2.4.6.,张家界/荷花,2300,0040,西安/咸阳,国内
CSC3273,319,.2.4.6.,西安/咸阳,0635,0840,稻城/亚丁,国内
CSC3274,319,.2.4.6.,稻城/亚丁,1040,1230,西安/咸阳,国内
CSC3307,321,.2.4.6.,哈尔滨/太平,0620,0740,呼伦贝尔/海拉尔,国内
CSC3307,321,1.3.5.7,哈尔滨/太平,2045,2200,呼伦贝尔/海拉尔,国内
CSC3308,321,1.3.5.7,呼伦贝尔/海拉尔,2245,0010,哈尔滨/太平,国内
CSC3308,321,.2.4.6.,呼伦贝尔/海拉尔,2200,2315,哈尔滨/太平,国内
CSC3309,320,1.3.5.7,哈尔滨/太平,0815,1055,太原/武宿,国内
CSC3309,320,.2.4.6.,哈尔滨/太平,0805,1045,太原/武宿,国内
CSC3310,320,.2.4.6.,桂林/两江,1435,1655,太原/武宿,国内
CSC3310,320,1.3.5.7,桂林/两江,1445,1705,太原/武宿,国内
CSC3311,321,1234567,哈尔滨/太平,0640,0905,天津/滨海,国内
CSC3312,321,1234567,天津/滨海,1005,1220,哈尔滨/太平,国内
CSC3313,321,.2.4.6.,哈尔滨/太平,2015,2240,天津/滨海,国内
CSC3314,321,.2.4.6.,天津/滨海,2200,0015,哈尔滨/太平,国内
CSC3317,320,1234567,哈尔滨/太平,1110,1240,满洲里/西郊,国内
CSC3318,320,1234567,满洲里/西郊,0840,1010,哈尔滨/太平,国内
CSC3351,321,1234567,天津/滨海,1525,1755,兰州/中川,国内
CSC3352,321,1234567,兰州/中川,1850,2100,天津/滨海,国内
CSC3353,321,1234567,天津/滨海,1650,1925,张家界/荷花,国内
CSC3354,321,1234567,张家界/荷花,2055,2315,天津/滨海,国内
CSC3401,320,1......,西昌/青山,1615,1845,郑州/新郑,国内
CSC3401,320,..3.5.7,西昌/青山,1615,1845,郑州/新郑,国内
CSC3402,320,1......,郑州/新郑,1955,2225,西昌/青山,国内
CSC3402,320,..3.5.7,郑州/新郑,1955,2225,西昌/青山,国内
CSC3403,320,1.3.5.7,西昌/青山,0725,1005,珠海/金湾,国内
CSC3403,320,.2.4.6.,西昌/青山,1435,1715,珠海/金湾,国内
CSC3404,320,1.3.5.7,珠海/金湾,1810,2050,西昌/青山,国内
CSC3404,320,.2.4.6.,珠海/金湾,1755,2035,西昌/青山,国内
CSC3407,320,1234567,西昌/青山,1805,2025,银川/河东,国内
CSC3408,320,1234567,银川/河东,2115,2345,西昌/青山,国内
CSC3455,320,1.3.5.7,乌鲁木齐/地窝堡,0645,1040,广元/盘龙,国内
CSC3456,320,1.3.5.7,南宁/吴圩,1435,1625,广元/盘龙,国内
CSC3457,320,.2.4.6.,乌鲁木齐/地窝堡,0645,1040,泸州/蓝田,国内
CSC3458,320,.2.4.6.,南宁/吴圩,1440,1615,泸州/蓝田,国内
CSC3463,320,1.3.5.7,乌鲁木齐/地窝堡,0645,1030,泸州/蓝田,国内
CSC3464,320,1.3.5.7,揭阳/潮汕,1435,1710,泸州/蓝田,国内
CSC3465,320,.2.4.6.,乌鲁木齐/地窝堡,0645,1035,南充/高坪,国内
CSC3466,320,.2.4.6.,南昌/昌北,1425,1650,南充/高坪,国内
CSC3609,321,1234567,南宁/吴圩,1105,1255,南昌/昌北,国内
CSC3610,321,1234567,天津/滨海,1715,1930,南昌/昌北,国内
CSC3725,321,1234567,郑州/新郑,1040,1320,揭阳/潮汕,国内
CSC3726,321,.2.4.6.,揭阳/潮汕,1430,1710,郑州/新郑,国内
CSC3726,321,1.3.5.7,揭阳/潮汕,1425,1655,郑州/新郑,国内
CSC3727,319,1234567,九寨/黄龙,0920,1205,无锡/硕放,国内
CSC3728,319,1234567,无锡/硕放,1300,1600,九寨/黄龙,国内
CSC3729,320,1.3.5.7,九寨/黄龙,0700,0900,长沙/黄花,国内
CSC3729,320,.2.4.6.,九寨/黄龙,1400,1600,长沙/黄花,国内
CSC3730,320,.2.4.6.,长沙/黄花,1705,1905,九寨/黄龙,国内
CSC3730,320,..3.5.7,长沙/黄花,1010,1210,九寨/黄龙,国内
CSC3730,320,1......,长沙/黄花,0945,1145,九寨/黄龙,国内
CSC3733,319,1234567,拉萨/贡嘎,1205,1415,绵阳/南郊,国内
CSC3734,319,1234567,绵阳/南郊,1500,1720,拉萨/贡嘎,国内
CSC3737,320,.2.....,邯郸,1215,1455,贵阳/龙洞堡,国内
CSC3737,320,......7,邯郸,1120,1400,贵阳/龙洞堡,国内
CSC3737,320,....5..,邯郸,1035,1315,贵阳/龙洞堡,国内
CSC3738,320,......7,贵阳/龙洞堡,1455,1720,邯郸,国内
CSC3738,320,....5..,贵阳/龙洞堡,1410,1635,邯郸,国内
CSC3738,320,.2.....,贵阳/龙洞堡,2200,0025,邯郸,国内
CSC3739,321,.2.4.6.,郑州/新郑,1315,1515,银川/河东,国内
CSC3740,321,.2.4.6.,银川/河东,1635,1815,郑州/新郑,国内
CSC3741,320,1234567,揭阳/潮汕,0855,1125,拉萨/贡嘎,国内
CSC3742,320,1234567,拉萨/贡嘎,1240,1520,揭阳/潮汕,国内
CSC3743,321,.....6.,宁波/栎社,1220,1500,贵阳/龙洞堡,国内
CSC3743,321,.2.4...,宁波/栎社,1220,1455,贵阳/龙洞堡,国内
CSC3744,321,.2.4.6.,贵阳/龙洞堡,1630,1905,宁波/栎社,国内
CSC3745,320,......7,临沂/沭埠岭,0745,0930,温州/龙湾,国内
CSC3746,320,......7,温州/龙湾,1040,1230,临沂/沭埠岭,国内
CSC3749,320,1234567,银川/河东,1000,1235,桂林/两江,国内
CSC3750,320,1234567,桂林/两江,1345,1610,银川/河东,国内
CSC3751,319,.2.4.6.,稻城/亚丁,1035,1150,泸州/蓝田,国内
CSC3752,319,.2.4.6.,泸州/蓝田,1235,1350,稻城/亚丁,国内
CSC3753,321,1.3.5.7,宁波/栎社,1305,1520,张家界/荷花,国内
CSC3754,321,1.3.5.7,张家界/荷花,1705,1855,宁波/栎社,国内
CSC3755,321,1234567,张家界/荷花,1650,1840,南京/禄口,国内
CSC3756,321,1.3.5.7,南京/禄口,2010,2210,张家界/荷花,国内
CSC3756,321,.2.4.6.,南京/禄口,1945,2145,张家界/荷花,国内
CSC3757,320,.2...6.,临沂/沭埠岭,1310,1500,太原/武宿,国内
CSC3758,320,.2...6.,太原/武宿,1600,1740,临沂/沭埠岭,国内
CSC3759,321,1.3.5.7,珠海/金湾,1600,1820,常州/奔牛,国内
CSC3760,321,1.3.5.7,常州/奔牛,1245,1455,珠海/金湾,国内
CSC3761,320,1234567,丽江/三义,0800,1000,北海/福成,国内
CSC3762,320,1234567,北海/福成,1050,1300,丽江/三义,国内
CSC3763,320,1234567,西宁/曹家堡,1310,1620,琼海/博鳌,国内
CSC3764,320,1234567,琼海/博鳌,1705,2025,西宁/曹家堡,国内
CSC3765,320,1.3.5.7,鞍山/腾鳌,0900,1130,阜阳,国内
