Flight No,Type,Date,Origin,Departure Time,Arrival Time,Destination,IsDome
CA1589/90,B747-400P,1234567,北京首都,20:30:00,22:40:00,上海虹桥,国内
CA1300,A340,1234567,深圳,21:55:00,23:50:00,上海浦东,国内
CA1305/6,B777-200,1234567,北京首都,17:30:00,20:35:00,深圳,国内
CA1307/8,B777-200,1234567,北京首都,20:30:00,23:30:00,深圳,国内
CA1321/2,B777-200,1234567,北京首都,09:00:00,11:55:00,广州,国内
CA1327/8,B777-200,1234567,北京首都,14:00:00,17:10:00,广州,国内
CA1339/40,B777-200,1234567,北京首都,12:00:00,15:15:00,广州,国内
CA1351/2,B777-200,1234567,北京首都,08:00:00,10:55:00,广州,国内
CA1515/6,B777-200,1234567,北京首都,15:30:00,17:40:00,上海虹桥,国内
CA1557/8,B777-200,1234567,北京首都,11:30:00,13:40:00,上海虹桥,国内
CA1365/6,A330,1234567,北京首都,16:00:00,19:15:00,广州,国内
CA1415/6,A330,1234567,北京首都,10:00:00,12:50:00,成都,国内
CA1565,A330,1234567,北京首都,17:00:00,18:55:00,杭州,国内
CA1596,A330,1234567,杭州,12:00:00,14:05:00,北京首都,国内
CA4103/4,A330,1234567,成都,14:00:00,16:35:00,北京首都,国内
CA4401/2,A330,1234567,成都,07:40:00,09:50:00,拉萨,国内
CA1501/2,B747-400MC,1234567,北京首都,08:30:00,10:40:00,上海虹桥,国内
CA1517/8,B747-400MC,1234567,北京首都,13:30:00,15:40:00,上海虹桥,国内
CA1313/4,A330-200,1234567,北京首都,11:30:00,14:30:00,深圳,国内
CA1315/6,A330-200,1234567,北京首都,11:00:00,14:10:00,广州,国内
CA1337/8,A330-200,1234567,北京首都,08:30:00,11:35:00,深圳,国内
CA1367/8,A330-200,1234567,北京首都,09:30:00,12:30:00,深圳,国内
CA1519/20,A330-200,1234567,北京首都,09:30:00,11:40:00,上海虹桥,国内
CA1521/2,A330-200,1234567,北京首都,14:30:00,16:40:00,上海虹桥,国内
CA1549/50,A330-200,1234567,北京首都,16:30:00,18:40:00,上海虹桥,国内
CA1831/2,A330-200,1234567,北京首都,07:30:00,09:40:00,上海虹桥,国内
CA1855/6,A330-200,1234567,北京首都,17:30:00,19:40:00,上海虹桥,国内
CA1383/4,A330-300,1234567,北京首都,18:20:00,21:20:00,深圳,国内
CA1405/6,B757-200,1234567,北京首都,08:00:00,10:45:00,成都,国内
CA1461/2,B757-200,1234567,北京首都,07:45:00,10:50:00,贵阳,国内
CA4109/10,B757-200,1234567,成都,15:00:00,17:35:00,北京首都,国内
CA4117/8,B757-200,1234567,成都,17:00:00,19:35:00,北京首都,国内
CA4157/8,B757-200,1234567,成都,18:25:00,22:05:00,乌鲁木齐,国内
CA4181/2,B757-200,1234567,成都,16:50:00,19:00:00,太原,国内
CA4193/4,B757-200,1234567,成都,07:00:00,09:35:00,北京首都,国内
CA4301/2,B757-200,1234567,成都,14:00:00,16:10:00,广州,国内
CA4309/10,B757-200,1234567,成都,19:00:00,21:15:00,广州,国内
CA4459/60,B757-200,1234567,成都,21:05:00,22:25:00,昆明,国内
CA4501/2,B757-200,1234567,成都,16:30:00,19:00:00,上海浦东,国内
CA4523/4,B757-200,1234567,九寨,08:20:00,11:00:00,上海浦东,国内
CA4101,B757,1234567,成都,09:00:00,11:25:00,北京首都,国内
CA4115/6,B757,1234567,成都,11:00:00,13:40:00,北京首都,国内
CA4121/2,B757,1234567,九寨,08:10:00,10:35:00,北京首都,国内
CA4153/4,B757,1234567,成都,15:35:00,19:15:00,乌鲁木齐,国内
CA4337/8,B757,1234567,成都,08:30:00,10:40:00,深圳,国内
CA4415/6,B757,1234567,成都,07:25:00,08:50:00,昆明,国内
CA1101/2,A321,1234567,北京首都,20:25:00,21:35:00,呼和浩特,国内
CA1295/6,A321,1234567,北京首都,19:45:00,23:55:00,乌鲁木齐,国内
CA1297/8,A321,1234567,北京首都,12:40:00,17:00:00,乌鲁木齐,国内
CA1375/6,A321,1234567,北京首都,13:10:00,16:50:00,南宁,国内
CA1439/40,A321,1234567,北京首都,13:25:00,15:55:00,重庆,国内
CA1509/10,A321,1234567,北京首都,08:05:00,10:00:00,杭州,国内
CA1621/2,A321,1234567,北京首都,18:10:00,19:55:00,哈尔滨,国内
CA1809/10,A321,1234567,北京首都,08:50:00,11:35:00,厦门,国内
CA1829/30,A321,1234567,广州,16:30:00,19:05:00,上海虹桥,国内
CA1837/8,A321,1234567,上海虹桥,13:05:00,15:20:00,广州,国内
CA1893,A321,1234567,上海浦东,07:35:00,09:50:00,深圳,国内
CA4311/2,A321,1234567,成都,15:30:00,17:40:00,深圳,国内
CA4361/2,A321,1234567,成都,09:00:00,10:55:00,广州,国内
CA1105/6,B737-800,1234567,北京首都,06:20:00,07:30:00,呼和浩特,国内
CA1107/8,B737-800,1234567,北京首都,21:20:00,22:35:00,包头,国内
CA1111/2,B737-800,1234567,北京首都,10:45:00,12:10:00,呼和浩特,国内
CA1115/6,B737-800,1234567,北京首都,12:40:00,13:50:00,呼和浩特,国内
CA1121/2,B737-800,1234567,北京首都,10:00:00,11:25:00,包头,国内
CA1133/4,B737-800,1234567,北京首都,07:10:00,08:50:00,运城,国内
CA1135/6,B737-800,1234567,北京首都,19:15:00,20:40:00,包头,国内
CA1139/40,B737-800,1234567,北京首都,19:20:00,21:05:00,运城,国内
CA1145/6,B737-800,1234567,北京首都,07:15:00,08:30:00,太原,国内
CA1147/8,B737-800,1234567,北京首都,07:15:00,09:05:00,巴彦淖尔,国内
CA1201/2,B737-800,1234567,北京首都,14:25:00,16:25:00,西安,国内
CA1203/4,B737-800,1234567,北京首都,07:25:00,09:20:00,西安,国内
CA1205/6,B737-800,1234567,北京首都,20:30:00,22:25:00,西安,国内
CA1207/8,B737-800,1234567,北京首都,07:20:00,10:05:00,西宁,国内
CA1209/10,B737-800,1234567,北京首都,10:15:00,12:25:00,西安,国内
CA1211/2,B737-800,1234567,北京首都,18:35:00,20:35:00,西安,国内
CA1213/4,B737-800,1234567,北京首都,10:30:00,12:40:00,银川,国内
CA1215/6,B737-800,1234567,西安,12:10:00,14:15:00,上海浦东,国内
CA1219/20,B737-800,1234567,北京首都,14:20:00,16:20:00,银川,国内
CA1221/2,B737-800,1234567,北京首都,16:10:00,18:40:00,兰州,国内
CA1223/4,B737-800,1234567,北京首都,12:30:00,14:25:00,西安,国内
CA1225,B737-800,1234567,北京首都,15:20:00,17:30:00,西安,国内
CA1226,B737-800,1234567,桂林,21:05:00,23:50:00,北京首都,国内
CA1235/6,B737-800,1234567,北京首都,17:00:00,18:55:00,西安,国内
CA1237/8,B737-800,1234567,北京首都,11:45:00,13:30:00,运城,国内
CA1251/2,B737-800,1234567,天津,14:50:00,18:45:00,乌鲁木齐,国内
CA1255/6,B737-800,1234567,北京首都,09:20:00,11:15:00,合肥,国内
CA1259/60,B737-800,1234567,北京首都,19:35:00,21:50:00,长沙,国内
CA1261/2,B737-800,1234567,北京首都,17:45:00,20:15:00,西宁,国内
