Flight No,Type,Date,Origin,Departure Time,Arrival Time,Destination,IsDome
3U8577/8,319,1234567,乌鲁木齐/地窝堡,11:40:00,13:20:00,喀什,国内
3U8581/2,319,1234567,乌鲁木齐/地窝堡,12:40:00,13:50:00,伊宁,国内
3U8583,319,1234567,成都/双流,07:25:00,11:00:00,乌鲁木齐/地窝堡,国内
3U8591/2,ERJ,1234567,绵阳/南郊,10:00:00,12:00:00,太原/武宿,国内
3U8593/4,320,1234567,重庆/江北,07:30:00,09:20:00,常州/奔牛,国内
3U8603,319,1234567,成都/双流,19:30:00,20:20:00,九寨/黄龙,国内
3U8604,319,1234567,九寨/黄龙,10:45:00,11:35:00,成都/双流,国内
3U8607/8,319,1234567,成都/双流,08:55:00,09:50:00,九寨/黄龙,国内
3U8613,319,1234567,成都/双流,19:45:00,20:35:00,九寨/黄龙,国内
3U8614,319,1234567,九寨/黄龙,10:40:00,11:30:00,成都/双流,国内
3U8631,ERJ,1234567,绵阳/南郊,08:00:00,08:40:00,重庆/江北,国内
3U8632,ERJ,1234567,重庆/江北,21:15:00,22:05:00,绵阳/南郊,国内
3U8637,319,1234567,重庆/江北,17:40:00,18:50:00,九寨/黄龙,国内
3U8638,319,1234567,九寨/黄龙,12:50:00,14:00:00,重庆/江北,国内
3U8641/2,ERJ,1234567,重庆/江北,07:45:00,08:30:00,黔江/武陵山,国内
3U8643,320,1234567,成都/双流,16:50:00,17:55:00,西昌/青山,国内
3U8644,320,1234567,西昌/青山,14:00:00,15:00:00,成都/双流,国内
3U8657/8,319,1234567,成都/双流,12:05:00,14:00:00,拉萨/贡嘎,国内
3U8659,319,1234567,重庆/江北,14:40:00,15:50:00,攀枝花/保安营,国内
3U8660,319,1234567,攀枝花/保安营,12:50:00,14:00:00,重庆/江北,国内
3U8673/4,320,1234567,兰州/中川,09:25:00,11:05:00,贵阳/龙洞堡,国内
3U8675/6,ERJ,1234567,成都/双流,08:05:00,09:15:00,贵阳/龙洞堡,国内
3U8685/6,319,1234567,西安/咸阳,18:55:00,20:00:00,银川/河东,国内
3U8687/8,319,1234567,西安/咸阳,07:50:00,09:10:00,西宁/曹家堡,国内
3U8691,319,1234567,成都/双流,09:05:00,10:15:00,丽江/三义,国内
3U8692,319,1234567,丽江/三义,10:50:00,12:00:00,成都/双流,国内
3U8697/8,319,1234567,成都/双流,14:00:00,16:00:00,拉萨/贡嘎,国内
3U8701/2,319,1234567,成都/双流,07:10:00,09:20:00,深圳/宝安,国内
3U8703/4,319,1234567,成都/双流,13:50:00,15:55:00,深圳/宝安,国内
3U8705/6,321,1234567,成都/双流,15:45:00,17:50:00,深圳/宝安,国内
3U8723/4,319,1234567,成都/双流,13:55:00,16:15:00,呼和浩特/白塔,国内
3U8725,320,1234567,哈尔滨/太平,07:35:00,11:55:00,武汉/天河,国内
3U8726,320,1234567,南宁/吴圩,15:20:00,16:55:00,武汉/天河,国内
3U8729/30,320,1234567,哈尔滨/太平,08:30:00,11:25:00,宁波/栎社,国内
3U8731/2,320,1234567,成都/双流,09:55:00,12:00:00,广州/白云,国内
3U8733/4,320,1234567,成都/双流,12:50:00,15:00:00,广州/白云,国内
3U8735/6,320,1234567,成都/双流,17:50:00,20:00:00,广州/白云,国内
3U8737/8,319,1234567,成都/双流,07:20:00,09:30:00,广州/白云,国内
3U8741/2,320,1234567,重庆/江北,07:40:00,09:30:00,广州/白云,国内
3U8751/2,320,1234567,成都/双流,20:20:00,22:30:00,海口/美兰,国内
3U8757/8,320,1234567,成都/双流,19:05:00,21:25:00,三亚/凤凰,国内
3U8781/2,321,1234567,重庆/江北,07:20:00,09:10:00,深圳/宝安,国内
3U8785/6,320,1234567,重庆/江北,08:05:00,10:05:00,海口/美兰,国内
3U8787,320,1234567,重庆/江北,18:45:00,20:40:00,深圳/宝安,国内
3U8788,320,1234567,深圳/宝安,21:35:00,23:35:00,重庆/江北,国内
3U8789,320,1234567,北京/首都,07:55:00,10:30:00,中卫/沙坡头,国内
3U8790,320,1234567,西安/咸阳,18:20:00,19:30:00,中卫/沙坡头,国内
3U8793/4,320,1234567,广州/白云,10:35:00,12:25:00,重庆/江北,国内
3U8799/800,320,1234567,三亚/凤凰,08:05:00,11:55:00,济南/遥墙,国内
3U8801,320,1234567,成都/双流,15:50:00,17:10:00,西安/咸阳,国内
3U8802,320,1234567,西安/咸阳,13:30:00,14:50:00,成都/双流,国内
3U8805/6,319,1234567,重庆/江北,13:45:00,14:55:00,西安/咸阳,国内
3U8811/2,321,1234567,成都/双流,08:00:00,10:05:00,济南/遥墙,国内
3U8825/6,320,1234567,三亚/凤凰,09:05:00,11:30:00,温州/龙湾,国内
3U8829/30,320,1234567,重庆/江北,07:30:00,09:55:00,北京/首都,国内
3U8831,320,1234567,重庆/江北,15:10:00,17:35:00,北京/首都,国内
3U8832,320,1234567,北京/首都,17:25:00,20:05:00,重庆/江北,国内
3U8833/4,319,1234567,重庆/江北,18:00:00,20:35:00,北京/首都,国内
3U8835/6,319,1234567,九寨/黄龙,10:50:00,11:55:00,西安/咸阳,国内
3U8837/8,ERJ,1234567,昆明/长水,13:30:00,14:50:00,万州/五桥,国内
3U8839/40,320,1234567,重庆/江北,08:10:00,10:00:00,南京/禄口,国内
3U8841/2,319,1234567,成都/双流,17:45:00,21:30:00,乌鲁木齐/地窝堡,国内
3U8843/4,320,1234567,成都/双流,12:45:00,14:50:00,济南/遥墙,国内
3U8849/50,320,1234567,重庆/江北,13:45:00,15:40:00,太原/武宿,国内
3U8855/6,320,1234567,昆明/长水,15:05:00,16:20:00,成都/双流,国内
3U8857/8,319,1234567,成都/双流,12:40:00,14:25:00,郑州/新郑,国内
3U8859,319,1234567,攀枝花/保安营,16:30:00,17:45:00,成都/双流,国内
3U8860,319,1234567,北京/首都,07:20:00,10:10:00,成都/双流,国内
3U8861/2,320,1234567,成都/双流,08:05:00,10:40:00,天津/滨海,国内
3U8863/4,320,1234567,重庆/江北,08:20:00,10:40:00,天津/滨海,国内
3U8865/6,320,1234567,昆明/长水,06:50:00,09:35:00,宁波/栎社,国内
3U8869/70,321,1234567,成都/双流,09:20:00,11:50:00,厦门/高崎,国内
3U8871/2,320,1234567,成都/双流,07:50:00,09:45:00,太原/武宿,国内
3U8877/8,319,1234567,成都/双流,08:35:00,10:50:00,石家庄/正定,国内
3U8879/80,321,1234567,重庆/江北,08:15:00,09:45:00,郑州/新郑,国内
3U8881/2,319,1234567,成都/双流,07:30:00,10:05:00,北京/首都,国内
3U8883/4,319,1234567,成都/双流,09:30:00,12:05:00,北京/首都,国内
3U8885/6,319,1234567,成都/双流,11:30:00,14:05:00,北京/首都,国内
3U8887/8,319,1234567,成都/双流,13:30:00,16:05:00,北京/首都,国内
3U8889/90,319,1234567,成都/双流,16:30:00,19:20:00,北京/首都,国内
