Duty Period #,Flights
1,['3U8577/8']
2,['3U8581/2']
3,['3U8583']
4,['3U8591/2']
5,['3U8593/4']
6,['3U8603']
7,['3U8604']
8,['3U8607/8']
9,['3U8613']
10,['3U8614']
11,['3U8631']
12,['3U8632']
13,['3U8637']
14,['3U8638']
15,['3U8641/2']
16,['3U8643']
17,['3U8644']
18,['3U8657/8']
19,['3U8659']
20,['3U8660']
21,['3U8673/4']
22,['3U8675/6']
23,['3U8685/6']
24,['3U8687/8']
25,['3U8691']
26,['3U8692']
27,['3U8697/8']
28,['3U8701/2']
29,['3U8703/4']
30,['3U8705/6']
31,['3U8723/4']
32,['3U8725']
33,['3U8726']
34,['3U8729/30']
35,['3U8731/2']
36,['3U8733/4']
37,['3U8735/6']
38,['3U8737/8']
39,['3U8741/2']
40,['3U8751/2']
41,['3U8757/8']
42,['3U8781/2']
43,['3U8785/6']
44,['3U8787']
45,['3U8788']
46,['3U8789']
47,['3U8790']
48,['3U8793/4']
49,['3U8799/800']
50,['3U8801']
51,['3U8802']
52,['3U8805/6']
53,['3U8811/2']
54,['3U8825/6']
55,['3U8829/30']
56,['3U8831']
57,['3U8832']
58,['3U8833/4']
59,['3U8835/6']
60,['3U8837/8']
61,['3U8839/40']
62,['3U8841/2']
63,['3U8843/4']
64,['3U8849/50']
65,['3U8855/6']
66,['3U8857/8']
67,['3U8859']
68,['3U8860']
69,['3U8861/2']
70,['3U8863/4']
71,['3U8865/6']
72,['3U8869/70']
73,['3U8871/2']
74,['3U8877/8']
75,['3U8879/80']
76,['3U8881/2']
77,['3U8883/4']
78,['3U8885/6']
79,['3U8887/8']
80,['3U8889/90']
81,['3U8891/2']
82,['3U8893/4']
83,['3U8895']
84,['3U8896']
85,['3U8897']
86,['3U8898']
87,['3U8901/2']
88,['3U8905']
89,['3U8906']
90,['3U8907']
91,['3U8908']
92,['3U8915/6']
93,['3U8917/8']
94,['3U8923/4']
95,['3U8927/8']
96,['3U8931/2']
97,['3U8935/6']
98,['3U8941/2']
99,['3U8949/50']
100,['3U8951/2']
101,['3U8953/4']
102,['3U8959/60']
103,['3U8961/2']
104,['3U8963/4']
105,['3U8965/6']
106,['3U8967/8']
107,['3U8969/70']
108,['3U8971/2']
109,['3U8973/4']
110,['3U8975/6']
111,['3U8987/8']
112,['3U8993/4']
113,['3U8995/6']
114,['3U8997/8']
115,['8L9906/5']
116,['8L9908/7']
117,['8L9910/09']
118,['8L9917/8']
119,['8L9921/2']
120,['8L9925/6']
121,['8L9931']
122,['8L9932']
123,['8L9937']
124,['8L9938']
125,['8L9939']
126,['8L9940']
127,['8L9950']
128,['8L9953/4']
129,['8L9955/6']
130,['8L9959']
131,['8L9960']
132,['8L9961']
133,['8L9962']
134,['8L9965']
135,['8L9966']
136,['8L9973']
137,['8L9974']
138,['8L9975/6']
139,['8L9979']
140,['8L9981']
141,['8L9982']
142,['8L9983']
143,['8L9984']
144,['8L9987']
145,['8L9988']
146,['8L9995']
147,['8L9996']
148,['8L9997']
149,['8L9998']
150,['8Y9001']
151,['8Y9002']
152,['8Y9015']
153,['8Y9021']
154,['8Y9025']
155,['8Y9026']
156,['8Y9027/8']
157,['8Y9031']
158,['8Y9033']
159,['8Y9043']
160,['8Y9050']
161,['8Y9051/2']
162,['8Y9055/6']
163,['8Y9057/8']
164,['8Y9059/60']
165,['9C8801/2']
166,['9C8803']
167,['9C8804']
168,['9C8805/6']
169,['9C8807/8']
170,['9C8813/4']
171,['9C8815']
172,['9C8816']
173,['9C8819']
174,['9C8820']
175,['9C8821/2']
176,['9C8825/6']
177,['9C8833']
178,['9C8834']
179,['9C8835/6']
180,['9C8837/8']
181,['9C8839/40']
182,['9C8841']
183,['9C8842']
184,['9C8843/4']
185,['9C8847/8']
186,['9C8849']
187,['9C8850']
188,['9C8851']
189,['9C8852']
190,['9C8853/4']
191,['9C8855/6']
192,['9C8857']
193,['9C8859/60']
194,['9C8863/4']
195,['9C8867/8']
196,['9C8869/70']
197,['9C8877/8']
198,['9C8897/8']
199,['9C8901']
200,['9C8902']
201,['9C8903/4']
202,['9C8911/2']
203,['9C8919/20']
204,['9C8931/2']
205,['9C8933/4']
206,['9C8935/6']
207,['9C8941/2']
208,['9C8943/4']
209,['9C8947/8']
210,['9C8949/50']
211,['9C8957/8']
212,['9C8963/4']
213,['9C8965/6']
214,['9C8967/8']
215,['9C8997']
216,['9C8998']
217,['BK2813/4']
218,['BK2815/6']
219,['BK2819/20']
220,['BK2825/6']
221,['CA1123/4']
222,['CA1125/6']
223,['CA1133/4']
224,['CA1135/6']
225,['CA1139/40']
226,['CA1143/4']
227,['CA1233/4']
228,['CA1235/6']
229,['CA1237/8']
230,['CA1239/40']
231,['CA1249/50']
232,['CA1253/4']
233,['CA1255/6']
234,['CA1257/8']
235,['CA1259/60']
236,['CA1261/2']
237,['CA1263/4']
238,['CA1309/10']
239,['CA1311/2']
240,['CA1313/4']
241,['CA1315/6']
242,['CA1317/8']
243,['CA1319/20']
244,['CA1321/2']
245,['CA1323/4']
246,['CA1325/6']
247,['CA1327/8']
248,['CA1329/30']
249,['CA1333/4']
250,['CA1335/6']
251,['CA1337/8']
252,['CA1339/40']
253,['CA1341/2']
254,['CA1343/4']
255,['CA1347/8']
256,['CA1349/50']
257,['CA1387']
258,['CA1388']
259,['CA1391/2']
260,['CA1395/6']
