Flight No,Type,Date,Origin,Departure Time,Arrival Time,Destination,IsDome
CSC3171,320,1234567,杭州/萧山,06:30:00,09:40:00,绵阳/南郊,国内
CSC3172,320,1234567,乌鲁木齐/地窝堡,15:35:00,19:05:00,绵阳/南郊,国内
CSC3173,320,1234567,杭州/萧山,07:20:00,10:15:00,泸州/蓝田,国内
CSC3174,320,1234567,西宁/曹家堡,13:45:00,15:35:00,泸州/蓝田,国内
CSC3213,321,1234567,三亚/凤凰,15:35:00,19:10:00,常州/奔牛,国内
CSC3214,321,1234567,常州/奔牛,11:30:00,14:35:00,三亚/凤凰,国内
CSC3251,319,1234567,西安/咸阳,06:45:00,08:35:00,九寨/黄龙,国内
CSC3252,319,1234567,九寨/黄龙,16:45:00,18:15:00,西安/咸阳,国内
CSC3261,319,1234567,西安/咸阳,13:40:00,15:45:00,攀枝花/保安营,国内
CSC3262,319,1234567,攀枝花/保安营,16:25:00,18:40:00,西安/咸阳,国内
CSC3265,320,1234567,西安/咸阳,18:10:00,20:55:00,海口/美兰,国内
CSC3311,321,1234567,哈尔滨/太平,06:40:00,09:05:00,天津/滨海,国内
CSC3312,321,1234567,天津/滨海,10:05:00,12:20:00,哈尔滨/太平,国内
CSC3317,320,1234567,哈尔滨/太平,11:10:00,12:40:00,满洲里/西郊,国内
CSC3318,320,1234567,满洲里/西郊,08:40:00,10:10:00,哈尔滨/太平,国内
CSC3351,321,1234567,天津/滨海,15:25:00,17:55:00,兰州/中川,国内
CSC3352,321,1234567,兰州/中川,18:50:00,21:00:00,天津/滨海,国内
CSC3353,321,1234567,天津/滨海,16:50:00,19:25:00,张家界/荷花,国内
CSC3354,321,1234567,张家界/荷花,20:55:00,23:15:00,天津/滨海,国内
CSC3407,320,1234567,西昌/青山,18:05:00,20:25:00,银川/河东,国内
CSC3408,320,1234567,银川/河东,21:15:00,23:45:00,西昌/青山,国内
CSC3609,321,1234567,南宁/吴圩,11:05:00,12:55:00,南昌/昌北,国内
CSC3610,321,1234567,天津/滨海,17:15:00,19:30:00,南昌/昌北,国内
CSC3725,321,1234567,郑州/新郑,10:40:00,13:20:00,揭阳/潮汕,国内
CSC3727,319,1234567,九寨/黄龙,09:20:00,12:05:00,无锡/硕放,国内
CSC3728,319,1234567,无锡/硕放,13:00:00,16:00:00,九寨/黄龙,国内
CSC3733,319,1234567,拉萨/贡嘎,12:05:00,14:15:00,绵阳/南郊,国内
CSC3734,319,1234567,绵阳/南郊,15:00:00,17:20:00,拉萨/贡嘎,国内
CSC3741,320,1234567,揭阳/潮汕,08:55:00,11:25:00,拉萨/贡嘎,国内
CSC3742,320,1234567,拉萨/贡嘎,12:40:00,15:20:00,揭阳/潮汕,国内
CSC3749,320,1234567,银川/河东,10:00:00,12:35:00,桂林/两江,国内
CSC3750,320,1234567,桂林/两江,13:45:00,16:10:00,银川/河东,国内
CSC3755,321,1234567,张家界/荷花,16:50:00,18:40:00,南京/禄口,国内
CSC3761,320,1234567,丽江/三义,08:00:00,10:00:00,北海/福成,国内
CSC3762,320,1234567,北海/福成,10:50:00,13:00:00,丽江/三义,国内
CSC3763,320,1234567,西宁/曹家堡,13:10:00,16:20:00,琼海/博鳌,国内
CSC3764,320,1234567,琼海/博鳌,17:05:00,20:25:00,西宁/曹家堡,国内
CSC8006,321,1234567,揭阳/潮汕,10:10:00,12:30:00,重庆/江北,国内
CSC8008,320,1234567,大连/周水子,19:50:00,23:15:00,重庆/江北,国内
CSC8009,321,1234567,重庆/江北,17:35:00,19:05:00,长沙/黄花,国内
CSC8010,321,1234567,长沙/黄花,20:05:00,21:30:00,重庆/江北,国内
CSC8017,319,1234567,西安/咸阳,07:50:00,11:15:00,拉萨/贡嘎,国内
CSC8018,319,1234567,拉萨/贡嘎,18:05:00,21:00:00,西安/咸阳,国内
CSC8021,320,1234567,西双版纳/嘎洒,08:40:00,10:45:00,绵阳/南郊,国内
CSC8022,320,1234567,南京/禄口,15:00:00,17:15:00,绵阳/南郊,国内
CSC8025,320,1234567,西昌/青山,07:25:00,09:10:00,南宁/吴圩,国内
CSC8026,320,1234567,海口/美兰,12:10:00,13:15:00,南宁/吴圩,国内
CSC8028,321,1234567,无锡/硕放,19:30:00,22:15:00,重庆/江北,国内
CSC8029,319,1234567,重庆/江北,06:50:00,09:15:00,林芝/米林,国内
CSC8030,319,1234567,林芝/米林,10:05:00,12:30:00,重庆/江北,国内
CSC8031,320,1234567,重庆/江北,14:25:00,16:45:00,厦门/高崎,国内
CSC8032,320,1234567,厦门/高崎,17:45:00,20:35:00,重庆/江北,国内
CSC8036,320,1234567,扬州/泰州,13:10:00,15:35:00,重庆/江北,国内
CSC8039,321,1234567,天津/滨海,09:25:00,11:30:00,宁波/栎社,国内
CSC8045,320,1234567,昆明/长水,18:00:00,21:15:00,天津/滨海,国内
CSC8047,321,1234567,重庆/江北,06:55:00,09:05:00,珠海/金湾,国内
CSC8049,320,1234567,西昌/青山,17:00:00,19:00:00,长沙/黄花,国内
CSC8050,320,1234567,长沙/黄花,20:05:00,22:10:00,西昌/青山,国内
CSC8063,321,1234567,成都/双流,17:25:00,20:00:00,珠海/金湾,国内
CSC8066,321,1234567,海口/美兰,20:30:00,22:35:00,重庆/江北,国内
CSC8108,320,1234567,青岛/流亭,20:25:00,21:45:00,常州/奔牛,国内
CSC8117,320,1234567,昆明/长水,18:25:00,21:05:00,南京/禄口,国内
CSC8123,320,1234567,西安/咸阳,19:15:00,21:20:00,青岛/流亭,国内
CSC8126,321,1234567,重庆/江北,16:35:00,19:05:00,烟台/蓬莱,国内
CSC8138,321,1234567,南宁/吴圩,09:15:00,10:55:00,重庆/江北,国内
CSC8173,320,1234567,西昌/青山,06:45:00,08:40:00,西安/咸阳,国内
CSC8174,320,1234567,西安/咸阳,09:45:00,11:40:00,西昌/青山,国内
CSC8197,321,1234567,重庆/江北,07:45:00,09:50:00,合肥/新桥,国内
CSC8198,321,1234567,合肥/新桥,11:00:00,13:05:00,重庆/江北,国内
CSC8199,320,1234567,西安/咸阳,08:40:00,10:20:00,泸州/蓝田,国内
CSC8200,320,1234567,西双版纳/嘎洒,13:25:00,15:00:00,泸州/蓝田,国内
CSC8207,320,1234567,哈尔滨/太平,06:45:00,09:15:00,济南/遥墙,国内
CSC8208,320,1234567,揭阳/潮汕,14:35:00,17:05:00,济南/遥墙,国内
CSC8209,320,1234567,昆明/长水,09:35:00,12:05:00,西宁/曹家堡,国内
CSC8217,320,1234567,昆明/长水,11:00:00,13:55:00,济南/遥墙,国内
CSC8223,321,1234567,南宁/吴圩,07:00:00,09:35:00,郑州/新郑,国内
CSC8231,320,1234567,重庆/江北,19:30:00,22:10:00,青岛/流亭,国内
CSC8237,320,1234567,昆明/长水,06:50:00,07:55:00,西双版纳/嘎洒,国内
CSC8238,320,1234567,西双版纳/嘎洒,08:40:00,09:40:00,昆明/长水,国内
CSC8241,320,1234567,西昌/青山,07:00:00,08:10:00,贵阳/龙洞堡,国内
CSC8243,320,1234567,昆明/长水,21:05:00,22:05:00,西双版纳/嘎洒,国内
CSC8249,321,1234567,昆明/长水,06:20:00,09:05:00,厦门/高崎,国内
CSC8257,330,1234567,成都/双流,06:05:00,08:45:00,青岛/流亭,国内
CSC8293,320,1234567,昆明/长水,08:15:00,10:55:00,徐州/观音,国内
CSC8313,320,1234567,成都/双流,06:20:00,08:10:00,西宁/曹家堡,国内
CSC8321,320,1234567,哈尔滨/太平,09:00:00,12:45:00,兰州/中川,国内
CSC8325,321,1234567,哈尔滨/太平,13:20:00,16:10:00,常州/奔牛,国内
CSC8326,321,1234567,福州/长乐,19:20:00,20:45:00,常州/奔牛,国内
CSC8357,321,1234567,天津/滨海,06:20:00,09:45:00,海口/美兰,国内
CSC8358,321,1234567,海口/美兰,10:45:00,14:25:00,天津/滨海,国内
CSC8361,320,1234567,重庆/江北,07:40:00,09:05:00,长沙/黄花,国内
CSC8362,320,1234567,温州/龙湾,12:30:00,14:10:00,长沙/黄花,国内
CSC8363,320,1234567,西安/咸阳,07:40:00,10:40:00,长春/龙嘉,国内
CSC8364,320,1234567,长春/龙嘉,11:30:00,14:40:00,西安/咸阳,国内
CSC8379,321,1234567,成都/双流,06:30:00,07:50:00,西安/咸阳,国内
CSC8380,321,1234567,西安/咸阳,06:00:00,07:40:00,成都/双流,国内
CSC8412,320,1234567,哈尔滨/太平,13:35:00,15:40:00,烟台/蓬莱,国内
CSC8437,320,1234567,西安/咸阳,07:05:00,09:45:00,深圳/宝安,国内
CSC8438,320,1234567,深圳/宝安,10:50:00,13:25:00,西安/咸阳,国内
CSC8461,321,1234567,天津/滨海,09:25:00,12:10:00,重庆/江北,国内
CSC8467,330,1234567,成都/双流,06:35:00,10:15:00,沈阳/桃仙,国内
CSC8507,321,1234567,重庆/江北,07:20:00,09:40:00,济南/遥墙,国内
CSC8508,321,1234567,济南/遥墙,10:40:00,13:05:00,重庆/江北,国内
CSC8513,320,1234567,昆明/长水,07:10:00,08:45:00,重庆/江北,国内
CSC8514,320,1234567,兰州/中川,12:40:00,14:30:00,重庆/江北,国内
CSC8517,321,1234567,哈尔滨/太平,09:00:00,11:55:00,合肥/新桥,国内
CSC8529,321,1234567,杭州/萧山,16:40:00,20:00:00,昆明/长水,国内
CSC8530,321,1234567,昆明/长水,21:05:00,23:50:00,杭州/萧山,国内
CSC8549,321,1234567,成都/双流,10:20:00,12:50:00,呼和浩特/白塔,国内
CSC8557,330,1234567,成都/双流,11:25:00,14:00:00,济南/遥墙,国内
CSC8572,321,1234567,喀什,15:55:00,17:45:00,乌鲁木齐/地窝堡,国内
CSC8575,320,1234567,成都/双流,17:45:00,21:15:00,乌鲁木齐/地窝堡,国内
CSC8581,321,1234567,杭州/萧山,17:05:00,20:15:00,哈尔滨/太平,国内
CSC8587,321,1234567,重庆/江北,08:25:00,10:30:00,常州/奔牛,国内
CSC8588,321,1234567,常州/奔牛,20:25:00,23:00:00,重庆/江北,国内
CSC8595,321,1234567,哈尔滨/太平,08:20:00,11:35:00,西安/咸阳,国内
CSC8596,321,1234567,北海/福成,16:10:00,18:40:00,西安/咸阳,国内
CSC8599,319,1234567,西安/咸阳,07:20:00,08:50:00,甘南/夏河,国内
CSC8600,319,1234567,拉萨/贡嘎,12:45:00,14:45:00,甘南/夏河,国内
CSC8623,321,1234567,成都/双流,08:40:00,11:40:00,无锡/硕放,国内
CSC8624,321,1234567,无锡/硕放,13:05:00,15:50:00,成都/双流,国内
CSC8625,320,1234567,成都/双流,13:20:00,16:00:00,无锡/硕放,国内
CSC8633,319,1234567,重庆/江北,06:35:00,09:25:00,拉萨/贡嘎,国内
CSC8635,319,1234567,重庆/江北,14:40:00,17:30:00,拉萨/贡嘎,国内
CSC8665,321,1234567,成都/双流,20:35:00,22:50:00,北海/福成,国内
CSC8681,320,1234567,成都/双流,22:10:00,23:35:00,西昌/青山,国内
CSC8687,319,1234567,西安/咸阳,12:45:00,14:25:00,西宁/曹家堡,国内
CSC8688,319,1234567,拉萨/贡嘎,19:10:00,21:35:00,西宁/曹家堡,国内
CSC8689,320,1234567,西安/咸阳,07:10:00,09:00:00,济南/遥墙,国内
CSC8690,320,1234567,哈尔滨/太平,13:00:00,15:20:00,济南/遥墙,国内
CSC8695,319,1234567,成都/双流,12:20:00,14:40:00,拉萨/贡嘎,国内
CSC8701,320,1234567,成都/双流,06:20:00,09:00:00,深圳/宝安,国内
CSC8703,321,1234567,成都/双流,12:55:00,15:40:00,深圳/宝安,国内
CSC8704,321,1234567,深圳/宝安,16:55:00,19:30:00,成都/双流,国内
CSC8705,330,1234567,成都/双流,15:30:00,17:50:00,深圳/宝安,国内
CSC8713,330,1234567,成都/双流,19:55:00,22:15:00,合肥/新桥,国内
CSC8725,321,1234567,哈尔滨/太平,07:55:00,11:15:00,武汉/天河,国内
CSC8726,321,1234567,南宁/吴圩,15:25:00,17:20:00,武汉/天河,国内
CSC8731,321,1234567,成都/双流,10:20:00,13:00:00,广州/白云,国内
CSC8732,321,1234567,广州/白云,14:15:00,16:40:00,成都/双流,国内
CSC8735,320,1234567,成都/双流,13:25:00,15:55:00,广州/白云,国内
CSC8736,320,1234567,广州/白云,17:20:00,19:35:00,成都/双流,国内
CSC8737,321,1234567,成都/双流,19:05:00,21:25:00,广州/白云,国内
CSC8745,321,1234567,重庆/江北,07:00:00,09:00:00,广州/白云,国内
CSC8751,321,1234567,成都/双流,08:40:00,11:10:00,海口/美兰,国内
CSC8757,321,1234567,成都/双流,17:10:00,19:50:00,三亚/凤凰,国内
CSC8760,320,1234567,乌鲁木齐/地窝堡,18:20:00,22:10:00,重庆/江北,国内
CSC8763,321,1234567,成都/双流,06:25:00,09:15:00,揭阳/潮汕,国内
CSC8773,321,1234567,成都/双流,07:50:00,09:50:00,南宁/吴圩,国内
CSC8776,330,1234567,拉萨/贡嘎,16:10:00,18:50:00,重庆/江北,国内
CSC8781,320,1234567,重庆/江北,07:10:00,09:10:00,深圳/宝安,国内
CSC8783,321,1234567,重庆/江北,13:05:00,15:25:00,深圳/宝安,国内
CSC8793,321,1234567,广州/白云,10:05:00,12:05:00,重庆/江北,国内
CSC8794,321,1234567,银川/河东,15:55:00,17:45:00,重庆/江北,国内
CSC8799,321,1234567,三亚/凤凰,07:35:00,11:05:00,济南/遥墙,国内
CSC8800,321,1234567,长春/龙嘉,15:20:00,17:30:00,济南/遥墙,国内
CSC8811,320,1234567,成都/双流,08:55:00,11:55:00,大连/周水子,国内
CSC8812,320,1234567,大连/周水子,13:10:00,16:25:00,成都/双流,国内
CSC8813,320,1234567,成都/双流,15:15:00,17:25:00,徐州/观音,国内
CSC8815,320,1234567,杭州/萧山,07:00:00,09:05:00,天津/滨海,国内
CSC8816,320,1234567,长春/龙嘉,12:50:00,14:45:00,天津/滨海,国内
CSC8826,321,1234567,哈尔滨/太平,16:45:00,20:05:00,温州/龙湾,国内
CSC8829,320,1234567,重庆/江北,07:05:00,09:40:00,北京/首都,国内
CSC8831,321,1234567,重庆/江北,14:45:00,17:30:00,北京/首都,国内
CSC8837,320,1234567,北京/首都,07:40:00,10:40:00,万州/五桥,国内
CSC8839,321,1234567,重庆/江北,07:15:00,09:25:00,南京/禄口,国内
CSC8840,321,1234567,哈尔滨/太平,14:30:00,17:35:00,南京/禄口,国内
CSC8844,321,1234567,哈尔滨/太平,20:15:00,22:30:00,济南/遥墙,国内
CSC8847,320,1234567,昆明/长水,07:25:00,10:10:00,郑州/新郑,国内
CSC8849,321,1234567,重庆/江北,13:40:00,15:35:00,太原/武宿,国内
CSC8850,321,1234567,沈阳/桃仙,19:10:00,21:05:00,太原/武宿,国内
CSC8857,321,1234567,成都/双流,07:15:00,09:15:00,郑州/新郑,国内
CSC8861,321,1234567,成都/双流,12:30:00,15:00:00,天津/滨海,国内
CSC8863,330,1234567,成都/双流,16:35:00,19:00:00,天津/滨海,国内
CSC8864,330,1234567,天津/滨海,20:20:00,23:25:00,成都/双流,国内
CSC8866,320,1234567,宁波/栎社,11:05:00,14:15:00,昆明/长水,国内
CSC8881,350,1234567,成都/双流,07:30:00,10:25:00,北京/首都,国内
CSC8883,330,1234567,成都/双流,09:30:00,12:25:00,北京/首都,国内
CSC8885,330,1234567,成都/双流,11:30:00,14:25:00,北京/首都,国内
CSC8887,350,1234567,成都/双流,13:30:00,16:25:00,北京/首都,国内
CSC8889,330,1234567,成都/双流,14:30:00,17:25:00,北京/首都,国内
CSC8890,330,1234567,北京/首都,18:40:00,22:00:00,成都/双流,国内
CSC8895,321,1234567,成都/双流,17:30:00,20:30:00,北京/首都,国内
CSC8896,321,1234567,北京/首都,19:40:00,23:05:00,成都/双流,国内
CSC8897,330,1234567,成都/双流,18:30:00,21:30:00,北京/首都,国内
CSC8902,319,1234567,拉萨/贡嘎,15:45:00,17:45:00,西宁/曹家堡,国内
CSC8911,330,1234567,成都/双流,06:35:00,09:15:00,杭州/萧山,国内
CSC8912,330,1234567,杭州/萧山,10:35:00,13:35:00,成都/双流,国内
CSC8915,330,1234567,成都/双流,11:20:00,14:05:00,杭州/萧山,国内
CSC8918,321,1234567,杭州/萧山,18:20:00,21:30:00,成都/双流,国内
CSC8919,330,1234567,成都/双流,20:05:00,22:40:00,杭州/萧山,国内
CSC8920,330,1234567,杭州/萧山,15:20:00,18:25:00,成都/双流,国内
CSC8929,320,1234567,成都/双流,07:25:00,10:10:00,扬州/泰州,国内
CSC8941,320,1234567,成都/双流,08:35:00,11:05:00,常州/奔牛,国内
CSC8942,320,1234567,烟台/蓬莱,14:25:00,16:05:00,常州/奔牛,国内
CSC8947,320,1234567,昆明/长水,06:30:00,08:10:00,广元/盘龙,国内
CSC8953,350,1234567,成都/双流,16:55:00,19:10:00,济南/遥墙,国内
CSC8954,350,1234567,济南/遥墙,20:30:00,23:15:00,成都/双流,国内
CSC8955,320,1234567,成都/双流,15:50:00,19:00:00,宁波/栎社,国内
CSC8956,320,1234567,宁波/栎社,20:15:00,23:15:00,成都/双流,国内
CSC8961,350,1234567,成都/双流,07:35:00,10:30:00,上海/浦东,国内
CSC8963,321,1234567,成都/双流,10:55:00,13:55:00,上海/浦东,国内
CSC8964,321,1234567,上海/浦东,15:10:00,18:25:00,成都/双流,国内
CSC8965,330,1234567,成都/双流,15:25:00,18:15:00,上海/浦东,国内
CSC8971,321,1234567,重庆/江北,07:15:00,09:40:00,上海/浦东,国内
CSC8973,321,1234567,重庆/江北,15:15:00,17:35:00,上海/浦东,国内
CSC8974,321,1234567,上海/浦东,18:50:00,21:45:00,重庆/江北,国内
CSC8984,321,1234567,宁波/栎社,10:25:00,13:00:00,重庆/江北,国内
CSC8986,319,1234567,南通/兴东,19:25:00,20:50:00,武汉/天河,国内
CSC8989,330,1234567,成都/双流,07:50:00,10:25:00,南京/禄口,国内
CSC8991,330,1234567,成都/双流,10:15:00,12:35:00,南京/禄口,国内
CSC8992,330,1234567,南京/禄口,13:50:00,16:45:00,成都/双流,国内
CSC8993,350,1234567,成都/双流,16:40:00,19:15:00,南京/禄口,国内
CSC8994,350,1234567,南京/禄口,20:35:00,23:15:00,成都/双流,国内
CSC8995,330,1234567,成都/双流,18:20:00,21:00:00,南京/禄口,国内
